,Possession time,Last third possession time,Pass by possession,Possessions/Shot,Number of passes before a shot,Possession time before a shot,PPDA,Challenge intensity index,Average heigth of defensive actions,Average heigth of defensive actions (center backs),xG,xT
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,28.73119444444442,8.40866666666667,4.457138888888889,6.985777777777777,4.941222222222222,19.242361111111116,10.37033775210202,1.1647222222222215,38.365055555555585,31.795916666666663,1.578310726350277,1.3602177251944445
std,5.998333191503464,3.7919447535436976,0.8696497438825432,2.1340153882995385,1.9033262646482298,22.301159736825277,2.87446639833088,0.30429960781338905,4.359734537064589,8.058904847855985,0.8678226537008505,0.5091131390547722
min,15.92,3.1,2.44,3.13,1.25,4.81,5.28125,0.5,27.94,7.35,0.102265029,0.2422355099999999
25%,23.87,5.9875,3.8475,5.375,3.56,12.825,8.288054435483872,0.95,35.025,26.0575,0.94293030175,0.997394655
50%,28.2,7.57,4.385,6.745,4.71,16.955,9.972463768115944,1.14,38.35,32.11,1.43256176225,1.3160086299999998
75%,33.582499999999996,9.6175,5.0425,8.1975,6.1775,21.7025,12.0,1.35,41.045,37.055,2.084157948,1.6610214499999996
max,43.21,30.0,6.98,14.42,11.64,392.04,22.875,2.29,50.74,59.25,6.443094368000001,3.37110105
BSC Young Boys,32.113055555555555,6.2875,4.427777777777778,8.520833333333334,4.935555555555556,17.844166666666666,8.768021595994275,1.2452777777777777,41.4225,36.70722222222222,2.109138636977778,1.8067720288888889
Basel,33.25888888888889,8.448611111111111,4.7908333333333335,7.800833333333333,5.536111111111111,21.15277777777778,9.559717445986479,1.2466666666666668,38.70361111111111,31.861944444444443,1.8302829985138886,1.5212686341666666
FC Lausanne Sport,27.679444444444446,10.753888888888888,4.381111111111111,6.131388888888889,5.044444444444444,23.87527777777778,11.187471573403892,1.0688888888888888,37.4175,29.236944444444443,1.096946787897222,1.0578911988888888
FC Zürich,26.500833333333333,7.67,4.053055555555556,6.511666666666667,4.1241666666666665,14.825555555555557,10.24534546245631,1.1569444444444443,38.03277777777778,31.212222222222223,1.816495705375,1.3744962374999998
Grasshopper,27.35388888888889,8.799444444444443,4.506944444444445,6.14638888888889,5.135833333333334,17.636388888888888,11.020143804230543,1.0805555555555555,38.42,31.87527777777778,1.3400909019861114,1.2562211255555555
Lugano,28.71833333333333,8.574166666666667,4.849166666666666,6.806111111111111,5.639444444444445,19.31722222222222,11.128171336776667,1.1283333333333332,37.68194444444444,31.484444444444446,1.3428183169194445,1.1220446633333332
Luzern,29.6725,7.167222222222222,4.582222222222223,7.299444444444443,5.1825,18.82361111111111,10.830529033447597,1.213888888888889,37.42638888888889,30.92722222222222,1.5624897917361111,1.4190187136111112
Servette,28.832222222222224,7.7266666666666675,4.58388888888889,7.1483333333333325,4.7411111111111115,27.0575,10.805416477696504,1.0811111111111111,38.41583333333333,32.72972222222222,1.6400987456527778,1.500245432222222
Sion,24.91166666666667,10.702777777777778,4.265,5.788888888888889,4.349444444444445,15.278611111111111,11.15916075980161,1.1019444444444444,37.01444444444444,29.730833333333333,1.1899915295416668,0.9935188436111111
St. Gallen,28.27111111111111,7.956388888888889,4.131388888888889,7.70388888888889,4.723611111111111,16.612499999999997,8.999400031226301,1.323611111111111,39.11555555555556,32.193333333333335,1.854753848902778,1.5507003741666667
