Unnamed: 0,match_id,match_date,team_id,team_name,Possession time,Last third possession time,Pass by possession,Possessions/Shot,Number of passes before a shot,Possession time before a shot,PPDA,Challenge intensity index,Average heigth of defensive actions,Average heigth of defensive actions (center backs),xG,xT
,3798991,2022-05-22 00:00:00,1167,Basel,30.93,19.6,4.84,6.28,4.0,17.81,11.678571428571429,0.77,39.83,33.78,1.136048373,1.38430641
,3798988,2022-05-22 00:00:00,1176,St. Gallen,30.3,4.95,4.5,8.87,7.23,20.69,7.393939393939394,1.27,39.2,39.41,2.941448206,2.1483844599999995
,3798988,2022-05-22 00:00:00,3220,FC Lausanne Sport,26.06,9.58,3.34,7.26,2.5,8.51,9.945945945945946,1.22,33.45,20.63,1.4095681239999998,1.18656062
,3798958,2022-05-22 00:00:00,1333,Sion,25.92,10.78,4.09,4.6,2.89,13.37,11.73913043478261,0.82,39.98,37.57,1.5491865790000001,1.01025676
,3798958,2022-05-22 00:00:00,1330,Servette,28.12,5.11,4.39,5.3,1.74,9.6,6.742857142857143,1.35,38.81,27.89,2.5195061750000005,0.5852712200000001
,3798938,2022-05-22 00:00:00,995,FC Zürich,25.35,6.12,3.71,6.78,2.41,10.53,8.647058823529411,1.45,34.37,34.73,0.983289889,1.0888911000000001
,3798938,2022-05-22 00:00:00,1148,Luzern,23.4,6.86,4.02,7.53,4.43,19.28,10.92,0.99,35.53,37.85,2.4800587949999997,1.1897818199999999
,3798965,2022-05-22 00:00:00,673,BSC Young Boys,24.28,7.46,4.39,6.22,6.62,19.09,10.941176470588236,0.97,37.91,34.86,2.279097621,1.37369862
,3798965,2022-05-22 00:00:00,3227,Grasshopper,35.08,5.14,5.06,9.88,5.33,17.97,16.11764705882353,0.7,44.7,40.47,1.565277438,1.93896041
,3798991,2022-05-22 00:00:00,1334,Lugano,36.32,11.75,5.28,14.42,10.0,23.11,19.22222222222222,0.58,33.72,40.1,0.6487933220000001,0.9644220000000001
,3798993,2022-05-19 00:00:00,1167,Basel,38.34,15.56,4.04,7.01,5.11,19.75,12.08695652173913,0.99,36.19,25.58,0.4360243730000001,1.1240709899999999
,3799049,2022-05-19 00:00:00,1176,St. Gallen,29.77,7.27,4.31,7.21,3.73,12.01,8.448275862068966,1.45,41.8,35.96,2.0838297480000003,1.0504480399999998
