,stamp,lon,lat,speed
0,2021-11-07 16:02:23.253,,,
1,2021-11-07 16:02:25.539,,,
2,2021-11-07 16:02:25.781,,,
3,2021-11-07 16:02:26.023,,,
4,2021-11-07 16:02:26.254,,,
5,2021-11-07 16:02:26.496,,,
6,2021-11-07 16:02:26.738,,,
7,2021-11-07 16:02:26.980,,,
8,2021-11-07 16:02:27.221,,,
9,2021-11-07 16:02:27.574,,,
10,2021-11-07 16:02:27.896,,,
11,2021-11-07 16:02:28.178,,,
12,2021-11-07 16:02:28.501,,,
13,2021-11-07 16:02:28.742,,,
14,2021-11-07 16:02:29.065,,,
15,2021-11-07 16:02:29.377,,,
16,2021-11-07 16:02:29.659,,,
17,2021-11-07 16:02:29.901,,,
18,2021-11-07 16:02:30.143,,,
19,2021-11-07 16:02:30.374,,,
20,2021-11-07 16:02:30.616,,,
21,2021-11-07 16:02:30.858,,,
22,2021-11-07 16:02:31.099,,,
23,2021-11-07 16:02:31.341,,,
24,2021-11-07 16:02:31.583,,,
25,2021-11-07 16:02:31.895,,,
26,2021-11-07 16:02:32.137,,,
27,2021-11-07 16:02:32.459,,,
28,2021-11-07 16:02:32.701,,,
29,2021-11-07 16:02:33.023,,,
30,2021-11-07 16:02:33.376,,,
31,2021-11-07 16:02:33.618,,,
32,2021-11-07 16:02:33.940,,,
33,2021-11-07 16:02:34.182,,,
34,2021-11-07 16:02:34.504,,,
35,2021-11-07 16:02:34.736,,,
36,2021-11-07 16:02:34.988,,,
37,2021-11-07 16:02:35.219,,,
38,2021-11-07 16:02:35.461,,,
39,2021-11-07 16:02:35.703,,,
40,2021-11-07 16:02:35.934,,,
41,2021-11-07 16:02:36.176,,,
42,2021-11-07 16:02:36.418,,,
43,2021-11-07 16:02:36.660,,,
44,2021-11-07 16:02:36.942,,,
45,2021-11-07 16:02:37.264,,,
46,2021-11-07 16:02:37.496,,,
47,2021-11-07 16:02:37.818,,,
48,2021-11-07 16:02:38.060,,,
49,2021-11-07 16:02:38.382,,,
50,2021-11-07 16:02:38.745,,,
51,2021-11-07 16:02:38.987,,,
52,2021-11-07 16:02:39.299,,,
53,2021-11-07 16:02:39.541,,,
54,2021-11-07 16:02:39.782,,,
55,2021-11-07 16:02:40.024,,,
56,2021-11-07 16:02:40.256,,,
57,2021-11-07 16:02:40.497,,,
58,2021-11-07 16:02:40.739,,,
59,2021-11-07 16:02:40.991,,,
60,2021-11-07 16:02:41.223,,,
61,2021-11-07 16:02:41.464,,,
62,2021-11-07 16:02:41.696,,,
63,2021-11-07 16:02:41.988,,,
64,2021-11-07 16:02:42.300,,,
65,2021-11-07 16:02:42.623,,,
66,2021-11-07 16:02:42.865,,,
67,2021-11-07 16:02:43.177,,,
68,2021-11-07 16:02:43.419,,,
69,2021-11-07 16:02:43.781,,,
70,2021-11-07 16:02:44.104,,,
71,2021-11-07 16:02:44.345,,,
72,2021-11-07 16:02:44.658,,,
73,2021-11-07 16:02:44.899,,,
74,2021-11-07 16:02:45.141,,,
75,2021-11-07 16:02:45.383,,,
76,2021-11-07 16:02:45.625,,,
77,2021-11-07 16:02:45.856,,,
78,2021-11-07 16:02:46.098,,,
79,2021-11-07 16:02:46.340,,,
80,2021-11-07 16:02:46.581,,,
81,2021-11-07 16:02:46.823,,,
82,2021-11-07 16:02:47.135,,,
83,2021-11-07 16:02:47.417,,,
84,2021-11-07 16:02:47.740,,,
85,2021-11-07 16:02:48.062,,,
86,2021-11-07 16:02:48.304,,,
