,Name,Team,Minutes,xG,xG/Shot,Shots,Shooting%,Shot Touch%,PSxG,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Passing%,L/R Footedness%,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,Passes Inside Box,Touches In Box,Throughballs,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
0,Wilfried Gnonto,FC Zürich,575,0.42,0.15,2.82,50,3,0.56,0.21,1.88,3.45,2.04,59,2.98,3.76,77,15,21,76,-2,65.01,3.92,35.4,81,7.54,13.16,1.25,1.25,0.31,5.79,0.16,0.47,15,63,21,18,61,21,0.03,0.14,-0.0,0.21,0.38
1,Sebastiano Esposito,Basel,568,0.3,0.09,3.17,35,4,0.22,0.41,1.74,2.22,0.79,36,1.11,4.44,70,12,22,78,8,65.3,2.85,28.38,83,4.84,10.78,1.43,1.27,0.95,5.71,0.0,1.11,9,81,11,6,84,10,0.2,0.06,0.01,0.01,0.27
2,Alexis Antunes,Servette,558,0.13,0.13,0.97,50,1,0.29,0.09,1.29,4.67,2.9,62,2.58,3.87,80,7,20,68,-12,61.88,3.38,38.84,85,6.46,14.34,0.97,0.97,0.48,3.38,0.0,0.64,14,59,27,15,47,38,-0.03,0.08,0.03,0.17,0.25
3,Jérémy Guillemenot,St. Gallen,529,0.4,0.16,2.55,33,4,0.33,0.24,2.55,1.36,0.68,50,2.04,3.4,65,15,26,72,7,61.24,3.91,23.83,79,4.15,8.0,1.19,0.68,1.02,6.13,0.34,1.02,26,63,12,30,60,11,0.24,0.16,0.01,0.05,0.46
4,Mohamed El Amine Amoura,Lugano,515,0.66,0.17,3.85,36,6,0.48,0.11,1.05,6.12,3.32,54,2.45,7.0,69,3,22,66,-3,59.95,3.32,33.93,73,7.46,8.22,0.52,0.52,0.17,6.3,0.0,0.52,12,69,19,15,68,17,-0.07,0.31,0.01,0.08,0.33
5,Samuele Campo,Luzern,505,0.12,0.07,1.6,0,1,0.0,0.1,1.43,1.6,1.07,67,3.03,2.5,83,84,22,72,-11,56.75,3.74,31.91,84,4.95,11.41,1.25,0.89,0.0,1.6,0.0,0.18,13,70,18,20,67,13,0.09,0.01,0.02,-0.07,0.05
6,Edon Zhegrova,Basel,503,0.25,0.09,2.68,53,4,0.33,0.67,3.76,6.44,3.4,53,3.04,4.65,70,92,21,67,-3,68.39,5.55,40.43,82,8.33,14.13,3.94,3.22,1.43,3.94,0.36,1.07,12,78,10,16,68,15,0.35,0.24,0.05,0.19,0.83
7,Blaž Kramer,FC Zürich,456,0.6,0.3,1.97,50,3,0.58,0.1,0.39,2.57,1.18,46,3.35,4.14,67,20,37,51,-16,57.67,1.18,19.14,64,6.84,3.75,0.2,0.2,0.39,5.33,0.0,0.79,10,60,31,5,68,26,-0.07,0.1,-0.0,0.0,0.03
8,Isaac Osa''s Schmidt,St. Gallen,450,0.05,0.13,0.4,0,1,0.0,0.06,1.2,4.4,2.0,45,1.6,4.2,71,8,32,74,3,59.68,4.8,36.83,85,4.05,14.21,1.2,1.2,0.4,3.0,0.2,0.8,26,64,10,20,73,7,0.03,0.04,0.05,-0.04,0.08
9,Stefano Guidotti ,Lugano,403,0.02,0.05,0.45,0,1,0.0,0.09,0.67,1.79,1.56,88,2.24,1.56,76,80,23,70,-6,49.38,4.69,34.87,90,4.69,8.27,0.45,0.45,0.0,0.67,0.0,0.22,21,64,14,24,59,16,0.01,0.03,-0.02,-0.02,-0.01
