Rk_x,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW_x,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl.1,Att_x,Tkl%,Past,Press_x,Succ_x,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks_x,Sh_x,ShSv,Pass,Int_x,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,Drib,Sh_y,Fld_x,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,CrdY_x,CrdR_x,2CrdY,Fls,Fld_y,Off_x,Crs_x,Int_y,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Att_y,Live_x,Dead,FK_x,TB,Press_y,Sw,Crs_y,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp_x,Off_y,Out.1,Int,Blocks_y,Cmp_y,Att_x,Cmp%,TotDist_x,PrgDist_x,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_x,xA_x,A-xA,KP,1/3_x,PPA,CrsPA,Prog_x,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live_y,Succ_y,Att_y,Succ%,#Pl,Megs,Carries,TotDist_y,PrgDist_y,Prog_y,1/3_y,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Gls_x,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_y,PK_x,PKatt_x,xG_x,npxG_x,npxG/Sh,G-xG,np:G-xG,MP_x,Starts_x,Min_x,Gls_y,Ast_y,G-PK,PK_y,PKatt_y,CrdY_y,CrdR_y,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG_y,npxG_y,xA_y,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Rk_y,MP_y,Min_y,Mn/MP,Min%,Starts_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0,2,0,0,11,4,3,34,34,19,0.0,0.0,0,179,10,11,47.6,1127,932,195,36,2,112,20,34,2,0,2,0,717,219,191,743,194,25,157,3,889,12,22,29,34,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52.0,1,0.8,0.2,11,68,26,4,112,1323,72,405,643,344,38,1126,9,21,42.9,9,0,733,3522,1907,114,30,9,13,16,835,775,92.8,46,0,18,6,33.3,0.91,0.3,0.0,0.0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2,22,20,1777,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.1,0.06,0.1,4,22,1777.0,81.0,52.0,20,88.0,,2,11.0,11,1.05,19.0,36.0,-17.0,-0.86,-0.42,15.9,29.8,-13.8,-0.7,-0.09
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0,11,0.34,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0,4,1,0,38,23,0,0,56,45,0.0,0.0,0,289,93,49,65.5,1715,1656,59,59,0,168,39,0,0,0,0,0,1365,123,227,1135,475,57,0,3,1506,4,26,24,13,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,0,0.3,-0.3,4,81,1,0,91,2085,279,1203,986,41,21,2030,12,20,60.0,13,1,1339,7561,4188,58,8,1,8,15,1407,1365,97.0,7,3,15,5,33.3,0.47,0.16,0.2,0.6,10.2,0,0,0,1.7,1.7,0.11,1.3,1.3,33,33,2889,3,0,3,0,0,4,1,0.09,0.0,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06,7,33,2889.0,88.0,84.5,33,88.0,,0,,0,1.18,37.0,39.0,-2.0,-0.06,0.95,29.9,48.9,-19.0,-0.59,0.89
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,5,0,0,30,22,1,21,23,24,0.0,0.0,0,146,12,19,38.7,725,676,49,32,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,616,5,15,10,7,616,725,85.0,12193,2951,247,263,93.9,250,284,88.0,103,154,66.9,0,0.8,-0.8,12,60,7,4,42,871,26,223,551,174,13,825,23,32,71.9,23,0,595,3486,1689,60,22,1,6,18,628,565,90.0,14,0,20,0,0.0,1.36,0.0,0.0,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,18,15,1320,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12,10,18,1320.0,73.0,38.6,15,83.0,,3,23.0,1,0.94,14.0,23.0,-9.0,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.44
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,160,108,65,79,16,53,179,29.6,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0,56,1.7,40,1,1,5,4,5,10,0.3,6,1,0,1,1,1,5,0,0,43,38,0,18,46,108,1.0,0.0,0,298,8,19,29.6,1592,1546,46,37,2,319,53,18,1,1,0,0,1174,198,220,137,1391,45,7,5,1330,5,28,50,28,1330,1592,83.5,25834,6519,530,603,87.9,575,639,90.0,200,289,69.2,1,1.4,-0.4,21,113,17,4,111,1973,40,513,1270,309,17,1932,22,31,71.0,22,0,1362,5793,2893,107,34,3,41,46,1427,1321,92.6,47,3,30,10,33.3,0.91,0.3,0.1,0.3,25.9,0,0,0,1.3,1.3,0.04,1.7,1.7,38,32,2963,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08,11,38,2963.0,78.0,86.6,32,85.0,,6,40.0,0,1.11,42.0,53.0,-11.0,-0.33,1.04,42.2,43.7,-1.5,-0.05,0.51
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0,14,1.38,11,1,1,0,1,0,2,0.2,2,0,0,0,0,0,1,0,0,18,8,7,4,7,4,0.0,0.0,0,40,36,62,36.7,214,199,15,0,1,77,2,4,0,0,0,0,140,33,41,142,26,16,0,3,144,0,7,1,14,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30.0,2,0.3,1.7,8,9,5,0,11,345,9,41,165,158,44,330,12,27,44.4,14,0,209,968,504,27,11,4,35,25,492,253,51.4,66,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,0.9,0.9,24,9,912,3,2,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24,12,24,912.0,38.0,26.7,9,64.0,,15,22.0,2,1.33,16.0,23.0,-7.0,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09
10,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2,7,0.5,4,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1,0,0,10,9,1,1,32,11,0.0,0.0,0,127,57,15,79.2,624,598,26,24,0,67,43,1,0,0,0,0,424,51,149,191,387,30,2,0,505,0,15,5,3,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,0,0.1,-0.1,3,30,2,0,31,856,141,518,369,25,16,830,5,6,83.3,5,0,456,3013,1651,16,1,0,2,1,472,461,97.7,0,0,13,3,23.1,0.93,0.21,0.0,0.0,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,14,14,1260,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.2,0.08,0.0,0.09,0.08,0.09,14,14,1260.0,90.0,36.8,14,90.0,,0,,1,1.64,21.0,18.0,3.0,0.21,0.84,20.2,18.7,1.5,0.11,0.18
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,1,1,11,8,1,8,15,13,0.0,0.0,0,176,39,26,60.0,689,632,57,17,1,75,23,8,0,0,0,0,433,93,163,68,500,54,40,1,564,3,7,5,10,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1261,44,9,0,3,0,473,454,96.0,8,1,9,2,22.2,0.66,0.15,0.11,0.5,16.0,0,0,0,0.7,0.7,0.07,0.3,0.3,14,14,1222,1,0,1,0,0,5,1,0.07,0.0,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08,16,14,1222.0,87.0,39.9,14,87.0,12.0,0,,0,1.64,25.0,17.0,8.0,0.59,0.2,24.0,18.0,6.0,0.44,0.36
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0,0,0,0,22,12,5,4,2,4,1.0,0.0,0,47,39,28,58.2,218,208,10,2,0,77,1,4,0,0,0,0,136,54,28,17,147,18,0,12,149,0,4,3,13,149,218,68.3,2057,327,92,118,78.0,39,64,60.9,9,15,60.0,1,0.9,0.1,8,12,2,0,11,356,21,40,167,166,66,347,6,19,31.6,6,2,177,709,252,13,5,4,26,13,491,251,51.1,96,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.2,-0.4,-0.4,22,12,1040,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,17,22,1040.0,47.0,30.4,12,74.0,,10,15.0,8,1.77,23.0,12.0,11.0,0.95,0.54,21.1,8.8,12.2,1.06,0.34
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,55,38,36,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,62,117,155,1,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0,9,1,1,31,25,2,26,62,38,0.0,0.0,0,368,77,26,74.8,2035,1927,108,54,1,183,73,26,0,0,0,0,1467,208,360,1538,339,93,24,4,1804,4,27,15,15,1804,2035,88.6,38629,10443,558,605,92.2,867,918,94.4,344,456,75.4,1,1.0,0.0,12,115,20,9,99,2382,348,1231,1170,195,19,2279,11,12,91.7,11,0,1448,9813,5208,116,32,1,14,8,1592,1549,97.3,21,0,8,0,0.0,0.26,0.0,0.0,,13.1,0,0,0,1.0,1.0,0.12,-1.0,-1.0,32,32,2813,0,1,0,0,0,9,1,0.0,0.03,0.03,0.0,0.03,1.0,1.0,1.0,1.9,0.03,0.03,0.06,0.03,0.06,20,32,2813.0,88.0,82.3,32,88.0,30.0,0,,0,1.88,51.0,44.0,7.0,0.22,0.37,49.4,38.8,10.6,0.34,0.12
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0,5,0,0,45,33,2,81,25,47,0.0,2.0,0,215,19,31,38.0,1771,1491,280,44,2,177,67,81,24,3,17,1,1047,297,427,1293,212,39,212,2,1426,3,30,36,48,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122,2027,73,704,915,525,31,1760,41,60,68.3,43,5,1309,5909,3793,133,34,8,33,33,1437,1356,94.4,56,1,18,3,16.7,0.7,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1,30,26,2330,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4.0,0.04,0.11,0.15,0.04,0.15,22,30,2330.0,78.0,68.1,26,83.0,22.0,4,46.0,1,1.97,37.0,28.0,9.0,0.35,-0.56,39.0,24.2,14.8,0.57,0.48
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0,1,0,0,29,55,19,13,11,17,0.0,0.0,0,119,47,141,25.0,633,621,12,1,8,176,14,13,0,0,0,0,398,125,110,39,500,36,0,24,443,6,9,28,33,443,633,70.0,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,5,5.8,-0.8,34,27,25,2,61,976,22,98,444,492,110,965,25,44,56.8,28,0,630,2627,1169,67,27,10,74,52,1474,734,49.8,189,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,0.2,0.2,36,30,2667,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49,23,36,2667.0,74.0,78.0,30,84.0,,6,25.0,0,1.11,39.0,51.0,-12.0,-0.4,0.67,32.9,39.9,-7.0,-0.24,0.33
19,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,21,1999,20.6,52,31,19,26,7,15,36,41.7,21,362,118,32.6,94,202,66,37,6,0,31,31,83,40,0,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1,3,0,0,29,29,2,12,31,31,0.0,0.0,0,227,25,19,56.8,1375,1274,101,23,0,184,9,12,0,0,0,0,1025,176,174,153,1057,57,78,8,1184,1,7,33,28,1184,1375,86.1,19562,5363,587,648,90.6,488,542,90.0,88,140,62.9,1,0.9,0.1,13,85,19,2,90,1615,57,394,961,372,20,1520,18,21,85.7,18,0,1067,5237,2594,106,34,4,18,31,1188,1088,91.6,47,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0,0,0,0.9,0.9,0.13,0.1,0.1,27,21,1850,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.9,1.8,0.04,0.04,0.09,0.04,0.09,24,27,1850.0,69.0,60.5,21,83.0,13.0,6,20.0,1,2.11,35.0,19.0,16.0,0.78,-0.11,38.2,17.1,21.1,1.03,-0.1
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0,1,0,0,16,6,2,3,55,26,0.0,1.0,1,278,100,39,71.9,1824,1775,49,42,2,175,49,3,0,0,0,0,1409,128,287,248,1442,81,7,3,1594,3,32,21,16,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,0,0.4,-0.4,5,68,5,1,73,2221,462,1338,920,73,34,2172,8,11,72.7,9,0,1324,6173,3455,50,6,0,5,8,1531,1491,97.4,5,0,20,5,25.0,0.61,0.15,0.0,0.0,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,33,33,2953,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04,26,33,2953.0,89.0,86.3,33,89.0,,0,,1,0.85,24.0,41.0,-17.0,-0.52,1.22,36.7,46.2,-9.5,-0.29,0.15
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,358,127,36,4,0,32,41,132,24,2,92,3.42,68,9,6,1,3,5,8,0.3,6,1,0,1,0,0,6,0,0,39,37,0,30,41,62,0.0,0.0,0,216,30,25,54.5,1629,1569,60,38,10,259,71,30,18,7,5,3,1262,158,209,135,1435,31,4,5,1346,6,27,43,36,1346,1629,82.6,27385,6812,507,569,89.1,561,646,86.8,245,347,70.6,5,4.7,0.3,53,148,24,4,142,1942,55,419,1254,412,21,1890,55,83,66.3,59,2,1408,6992,3928,156,47,7,33,43,1559,1448,92.9,33,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,0.6,0.6,35,25,2418,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23,30,35,2418.0,69.0,70.7,25,84.0,,10,32.0,0,1.17,28.0,47.0,-19.0,-0.71,-1.16,30.5,41.5,-11.0,-0.41,-0.06
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,34,16,18,10,6,13,28,46.4,15,187,58,31.0,73,90,24,25,4,1,21,34,68,48,1,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0,1,0,0,24,24,1,22,34,16,0.0,0.0,0,126,25,24,51.0,727,546,181,18,1,81,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,27,19,520,727,71.5,9660,4691,229,273,83.9,225,299,75.3,57,121,47.1,1,0.9,0.1,12,40,16,8,45,883,48,306,454,155,8,706,4,8,50.0,4,0,412,1633,843,33,8,2,8,9,501,425,84.8,19,0,2,0,0.0,0.12,0.0,0.0,,14.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,26,16,1558,0,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,33,26,1558.0,60.0,45.6,16,83.0,11.0,10,24.0,12,1.12,19.0,31.0,-12.0,-0.69,-0.26,17.0,24.8,-7.8,-0.45,-0.43
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1,6,0.68,6,0,0,0,0,0,2,0.23,2,0,0,0,0,0,2,0,0,16,9,0,0,20,11,0.0,0.0,0,104,10,6,62.5,494,480,14,13,1,75,19,0,0,0,0,0,376,43,75,77,384,21,1,3,443,3,5,8,1,443,494,89.7,8945,1965,159,170,93.5,201,219,91.8,74,92,80.4,0,0.1,-0.1,2,39,4,0,36,569,30,174,349,74,1,557,4,7,57.1,5,0,365,1663,646,17,4,1,2,11,397,372,93.7,8,0,2,0,0.0,0.23,0.0,0.0,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,12,9,800,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,35,12,800.0,67.0,23.4,9,84.0,6.0,3,13.0,22,1.08,14.0,14.0,0.0,0.0,0.69,13.2,17.2,-4.1,-0.46,0.18
